title,company,location,term,posted_date,deadline,job_id,detail_link,raw_text
Intrax Inc,Divisional Office,"Intermediate, Senior",137,,,Product Management Intern,,"Product Management Intern | Intrax Inc | Divisional Office | 1 | San Francisco | Intermediate, Senior | 137 | Mar 11, 2026 9:00 AM"
Maple Precision,Equator,"Intermediate, Senior",48,,,Geospatial Data Analyst (Python or QGIS),,"Geospatial Data Analyst (Python or QGIS) | Maple Precision | Equator | 1 | Kitchener | Intermediate, Senior | 48 | Mar 11, 2026 9:00 AM"
Excelitas Technologies Corp,Excelitas Canada Inc,"Intermediate, Senior",81,,,Mechanical Engineering Co-op,,"Mechanical Engineering Co-op | Excelitas Technologies Corp | Excelitas Canada Inc | 1 | Mississauga | Intermediate, Senior | 81 | Mar 10, 2026 9:00 AM"
Arius Technology,Divisional Office,"Intermediate, Senior",48,,,Software Engineering Co-Op,,"Software Engineering Co-Op | Arius Technology | Divisional Office | 1 | Richmond | Intermediate, Senior | 48 | Mar 11, 2026 9:00 AM"
Club Support Inc,Divisional Office,Senior,5,,,Field Technician Co-op,,"Field Technician Co-op | Club Support Inc | Divisional Office | 1 | Concord | Senior | 5 | Mar 11, 2026 9:00 AM"
Brown & Beattie Ltd,Divisional Office,Intermediate,41,,,Engineering Technician (Civil) (Co-op Position) - Richmond Hill,,"Engineering Technician (Civil) (Co-op Position) - Richmond Hill | Brown & Beattie Ltd | Divisional Office | 1 | Richmond Hill | Intermediate | 41 | Mar 11, 2026 9:00 AM"
University of Waterloo,School of Pharmacy,"Junior, Intermediate, Senior",1,,,Undergraduate Affairs Project Assistant,,"Undergraduate Affairs Project Assistant | University of Waterloo | School of Pharmacy | 1 | Kitchener | Junior, Intermediate, Senior | 1 | Mar 11, 2026 9:00 AM"
House of Friendship,Divisional Office,"Junior, Intermediate, Senior",33,,,Wellness Worker,,"Wellness Worker | House of Friendship | Divisional Office | 1 | Kitchener | Junior, Intermediate, Senior | 33 | Mar 11, 2026 9:00 AM"
University of Waterloo,Faculty of Engineering,"Junior, Intermediate, Senior",17,,,SYDE General + SYDE 223 First Year Engineering Tutor,,"SYDE General + SYDE 223 First Year Engineering Tutor | University of Waterloo | Faculty of Engineering | 1 | Waterloo | Junior, Intermediate, Senior | 17 | Mar 11, 2026 9:00 AM"
Fairway Chiropractic,Divisional Office,"Intermediate, Senior",12,,,Clinical Rehabilitation Assistant,,"Clinical Rehabilitation Assistant | Fairway Chiropractic | Divisional Office | 1 | Kitchener | Intermediate, Senior | 12 | Mar 11, 2026 9:00 AM"
Vital Biosciences Inc,Divisional Office,"Intermediate, Senior",56,,,R&D Engineering Co-op,,"R&D Engineering Co-op | Vital Biosciences Inc | Divisional Office | 1 | Oakville | Intermediate, Senior | 56 | Mar 11, 2026 9:00 AM"
Karbon Digital Limited,Divisional Office,"Junior, Intermediate, Senior",163,,,Product Finance Intern,,"Product Finance Intern | Karbon Digital Limited | Divisional Office | 1 | Toronto | Junior, Intermediate, Senior | 163 | Mar 10, 2026 9:00 AM"
Parrish & Heimbecker Limited,Divisional Office,"Junior, Intermediate, Senior",34,,,Customer Service Representative Intern,,"Customer Service Representative Intern | Parrish & Heimbecker Limited | Divisional Office | 1 | Cambridge | Junior, Intermediate, Senior | 34 | Mar 10, 2026 9:00 AM"
Food for Good Inc,Divisional Office,"Intermediate, Senior",31,,,Interim Digital HR and Accounting Specialist,,"Interim Digital HR and Accounting Specialist | Food for Good Inc | Divisional Office | 1 | Niagara falls | Intermediate, Senior | 31 | Mar 10, 2026 9:00 AM"
Food for Good Inc,Divisional Office,"Intermediate, Senior",23,,,"Interim Sales, Business Development, and Technology Specialist",,"Interim Sales, Business Development, and Technology Specialist | Food for Good Inc | Divisional Office | 1 | Niagara falls | Intermediate, Senior | 23 | Mar 10, 2026 9:00 AM"
Windscribe Limited,Divisional Office,"Junior, Intermediate, Senior",44,,,Customer Support Agent,,"Customer Support Agent | Windscribe Limited | Divisional Office | 1 | Toronto | Junior, Intermediate, Senior | 44 | Mar 10, 2026 9:00 AM"
Englobe Corp,Divisional Office,"Junior, Intermediate",72,,,Field Technician,,"Field Technician | Englobe Corp | Divisional Office | 1 | Brantford | Junior, Intermediate | 72 | Mar 10, 2026 9:00 AM"
Food for Good Inc,Divisional Office,"Intermediate, Senior",12,,,Health Nutritionist Intern,,"Health Nutritionist Intern | Food for Good Inc | Divisional Office | 1 | Niagara falls | Intermediate, Senior | 12 | Mar 10, 2026 9:00 AM"
Link Horizon Inc,Divisional Office,"Junior, Intermediate",170,,,Field Drone Operations Intern,,"Field Drone Operations Intern | Link Horizon Inc | Divisional Office | 1 | Nepean | Junior, Intermediate | 170 | Mar 9, 2026 9:00 AM"
Purolator Inc,Corporate,"Intermediate, Senior",201,,,Process Engineering Specialist Co-op,,"Process Engineering Specialist Co-op | Purolator Inc | Corporate | 1 | Mississauga | Intermediate, Senior | 201 | Mar 10, 2026 9:00 AM"
Foster Thibeault Youell Radley Professional Corporation,Divisional Office,"Junior, Intermediate, Senior",0,,,Accounting Student,,"Accounting Student | Foster Thibeault Youell Radley Professional Corporation | Divisional Office | 1 | Aurora | Junior, Intermediate, Senior | 0 | Mar 10, 2026 9:00 AM"
