posting_id,job_id,title,company,location,term,posted_date,deadline,special_requirements,job_responsibilities,required_skills,detail_link,raw_text
,Software Engineering Co-Op,Arius Technology,Divisional Office - 1,"Intermediate, Senior",48,,,,,,,"Software Engineering Co-Op | Arius Technology | Divisional Office | 1 | Richmond | Intermediate, Senior | 48 | Mar 11, 2026 9:00 AM"
,Field Technician Co-op,Club Support Inc,Divisional Office - 1,Senior,5,,,,,,,"Field Technician Co-op | Club Support Inc | Divisional Office | 1 | Concord | Senior | 5 | Mar 11, 2026 9:00 AM"
,R&D Engineering Co-op,Vital Biosciences Inc,Divisional Office - 1,"Intermediate, Senior",56,,,,,,,"R&D Engineering Co-op | Vital Biosciences Inc | Divisional Office | 1 | Oakville | Intermediate, Senior | 56 | Mar 11, 2026 9:00 AM"
,Customer Support Agent,Windscribe Limited,Divisional Office - 1,"Junior, Intermediate, Senior",44,,,,,,,"Customer Support Agent | Windscribe Limited | Divisional Office | 1 | Toronto | Junior, Intermediate, Senior | 44 | Mar 10, 2026 9:00 AM"
,Process Engineering Specialist Co-op,Purolator Inc,Corporate - 1,"Intermediate, Senior",202,,,,,,,"Process Engineering Specialist Co-op | Purolator Inc | Corporate | 1 | Mississauga | Intermediate, Senior | 202 | Mar 10, 2026 9:00 AM"
,check_circle Software Test Co-op,Intellijoint Surgical Inc,Divisional Office - 1,"Junior, Intermediate, Senior",356,,,,,,,"check_circle Software Test Co-op | Intellijoint Surgical Inc | Divisional Office | 1 | Kitchener | Junior, Intermediate, Senior | 356 | Mar 10, 2026 9:00 AM"
,Software Engineering Intern,Suger Inc,Divisional Office - 2,Senior,81,,,,,,,"Software Engineering Intern | Suger Inc | Divisional Office | 2 | Vancouver | Senior | 81 | Mar 11, 2026 11:59 PM"
,Software Developer - Innovation Office,Baycrest Health Science,Baycrest Innovation Office - 1,Junior,337,,,,,,,"Software Developer - Innovation Office | Baycrest Health Science | Baycrest Innovation Office | 1 | Toronto | Junior | 337 | Mar 10, 2026 9:00 AM"
,SRE Software Developer Co-op,TextNow,Divisional Office - 1,"Intermediate, Senior",307,,,,,,,"SRE Software Developer Co-op | TextNow | Divisional Office | 1 | Waterloo | Intermediate, Senior | 307 | Mar 9, 2026 9:00 AM"
,check_circle Electronics Engineering Assistant,KA Imaging Inc,Divisional Office - 1,"Junior, Intermediate, Senior",191,,,,,,,"check_circle Electronics Engineering Assistant | KA Imaging Inc | Divisional Office | 1 | Waterloo | Junior, Intermediate, Senior | 191 | Mar 10, 2026 9:00 AM"
,Backend Platform Software Developer Co-op,TextNow,Divisional Office - 1,"Intermediate, Senior",379,,,,,,,"Backend Platform Software Developer Co-op | TextNow | Divisional Office | 1 | Waterloo | Intermediate, Senior | 379 | Mar 9, 2026 9:00 AM"
,Fullstack Software Developer Co-op,TextNow,Divisional Office - 1,"Intermediate, Senior",427,,,,,,,"Fullstack Software Developer Co-op | TextNow | Divisional Office | 1 | Waterloo | Intermediate, Senior | 427 | Mar 9, 2026 9:00 AM"
,Supply Chain Excellence Co-op,Mondelez International,Mondelez Canada Inc - 1,"Intermediate, Senior",58,,,,,,,"Supply Chain Excellence Co-op | Mondelez International | Mondelez Canada Inc | 1 | Toronto | Intermediate, Senior | 58 | Mar 9, 2026 9:00 AM"
,Maintenance Co-op,Mondelez International,Mondelez Canada Inc - 1,"Intermediate, Senior",111,,,,,,,"Maintenance Co-op | Mondelez International | Mondelez Canada Inc | 1 | Hamilton | Intermediate, Senior | 111 | Mar 9, 2026 9:00 AM"
,Automation Engineering Co-op,Mondelez International,Mondelez Canada Inc - 1,"Intermediate, Senior",61,,,,,,,"Automation Engineering Co-op | Mondelez International | Mondelez Canada Inc | 1 | Toronto | Intermediate, Senior | 61 | Mar 9, 2026 9:00 AM"
,Software Developer,Marketing Kitchen Inc,Divisional Office - 1,"Intermediate, Senior",113,,,,,,,"Software Developer | Marketing Kitchen Inc | Divisional Office | 1 | Markham | Intermediate, Senior | 113 | Mar 10, 2026 9:00 AM"
,check_circle QA Analyst Intern,Propel Holdings Inc,Divisional Office - 2,"Junior, Intermediate",399,,,,,,,"check_circle QA Analyst Intern | Propel Holdings Inc | Divisional Office | 2 | Toronto | Junior, Intermediate | 399 | Mar 9, 2026 9:00 AM"
,Mechatronics Engineering,University of Waterloo,Faculty of Engineering - 1,"Intermediate, Senior",88,,,,,,,"Mechatronics Engineering | University of Waterloo | Faculty of Engineering | 1 | Waterloo | Intermediate, Senior | 88 | Mar 9, 2026 9:00 AM"
