posting_id,job_id,title,company,location,term,posted_date,deadline,special_requirements,job_responsibilities,required_skills,detail_link,raw_text
460942,460942,Product Management Intern,Intrax Inc - Divisional Office,San Francisco,"Intermediate, Senior",,"Mar 11, 2026 9:00 AM",The University of Waterloo has compiled guidance and frequently asked questions for co-op students planning to work in the U.S. Please review this important information before deciding to apply for a U.S. work term. Work abroad co-op requirements webpage USA Work Permit/J-1 Visa webpage,"What You'll Do Learn our product and internal systems in depth and assist with creating clear, thorough, customer-facing documentation Gain hands-on experience diagnosing product issues, assessing impact, and applying prioritization frameworks to inform backlog decisions. Learn to analyze support trends, evaluate urgency and user impact, and differentiate between immediate risks and longer-term product improvements. Meet with internal stakeholders to understand user pain points and translate them into well-defined product stories for the backlog Support ongoing backlog grooming and product operations activities Collaborate closely with engineering, design, and business teams to ensure a shared understanding of product requirements, bugs, and user needs","What We're Looking For Pursuing a degree in computer science. Exceptional written and verbal communication skills, with the ability to explain technical concepts clearly to non-technical audiences Strong attention to detail and a structured approach to problem-solving Ability to learn complex systems quickly and ask thoughtful questions Comfortable working cross-functionally with engineering, design, and business partners Interest in product management, technology, and improving user experiences Nice to Have (but not Required) Experience with product management tools (e.g., Jira, Confluence) Exposure to customer support, QA, or technical documentation Basic understanding of software development concepts",,"460942 | Product Management Intern | Intrax Inc | Divisional Office | 1 | San Francisco | Intermediate, Senior | 143 | Mar 11, 2026 9:00 AM"
460913,460913,Geospatial Data Analyst (Python or QGIS),Maple Precision - Equator,Kitchener,"Intermediate, Senior",,"Mar 11, 2026 9:00 AM","This job is funded by the Government of Canada's Student Work Placement Program (SWPP) or Canada Summer Jobs. These programs require that candidates be a Canadian citizen, permanent resident or a protected person defined by the Immigration and Refugee Protection Act.","1. Data Acquisition & Preparation: Identify, source, clean, and prepare GIS datasets (e.g., LiDAR point clouds, building footprints, flood lines, elevation models) from open data portals using QGIS and/or Python. Prepare datasets for integration into the platform following established SOPs. 2. Geospatial Data Processing & Automation: Design, test, and maintain geospatial data conversion workflows using QGIS, Python, and FME Workbench to support Equator's data processing pipelines. 3. Data Coverage Management: Maintain and update master geospatial coverage layers for Equator's products using GIS workflows defined in internal SOPs. 4. Platform QA/QC: Conduct bi-weekly testing of the Equator platform to ensure new product and data releases meet quality standards. 5. Content & SEO Support: Assist in improving technical content by contributing geospatial insights, validating data-driven information, and supporting search engine optimization (SEO) through structured content, metadata, and location-based content improvements. 6. Documentation & Process Improvement: Update SOPs and technical documentation when workflows or methodologies change. 7. Collaboration with the development team: Work closely with the development team to ensure datasets, workflows, and updates are properly integrated into the Equator platform.","Enrolled in Planning, Engineering, Geomatics, or related programs. Experience with GIS tools (e.g., QGIS, ArcGIS) and handling geospatial data. Understanding of coordinate reference systems (CRS), projections, and spatial data formats (e.g., Shapefile, GeoTIFF, LAS/LAZ). Strong analytical and problem-solving skills with attention to detail. Familiarity with public open data portals and data cleaning techniques. Interest in environmental applications of geospatial data. Experience in programming languages such as Python and Libraries such as GeoPandas, GDAL, Rasterio (asset but not required) Previous experience creating data processing workflows using Python or FME (asset but not required). Basic understanding of SEO (asset but not required)",,"460913 | Geospatial Data Analyst (Python or QGIS) | Maple Precision | Equator | 1 | Kitchener | Intermediate, Senior | 49 | Mar 11, 2026 9:00 AM"
460894,460894,Mechanical Engineering Co-op,Excelitas Technologies Corp - Excelitas Canada Inc,Mississauga,"Intermediate, Senior",,"Mar 10, 2026 9:00 AM",Students are responsible for ensuring they are eligible for an 8-month work term before applying. Please discuss your work/study sequence flexibility with your academic advisor as soon as possible.,"Position Duties & Responsibilities Undertakes and successfully completes simple or basic project/product development tasks to include any of the following: writing and/or verifying specifications, maintaining product/process documentation, testing processes, equipment, raw materials and product, and validating equipment and processes. Assist in development of Engineering standards May assist in inventing / creating concepts and designs/approaches for new products/processes/test methods. Designs, procures, and fabricates simple tooling and fixtures. Designs and coordinates engineering tests and experiments. Prepares standard reports/documentation to communicate results to technical community. Completes basic tasks on engineering documentation. Identifies areas for improvement, suggests solutions, and submits idea records. Perform stress, thermal and performance analysis on parts and sub-systems. Interface with designers to develop documentation and manufacturing specifications for components. Other duties as assigned.",The successful candidate will be enrolled in a Mechanical Engineering University/College program. Hands-on experience valued highly. Knowledge of SolidWorks as well as basic detailing drawing concepts; GD&T concept is desirable. Must be motivated and eager to learn industry concepts. Must have excellent written and verbal communication skills. Must be a team player and able to get along with individuals from other groups in the organization.,,"460894 | Mechanical Engineering Co-op | Excelitas Technologies Corp | Excelitas Canada Inc | 1 | Mississauga | Intermediate, Senior | 85 | Mar 10, 2026 9:00 AM"
460878,460878,Software Engineering Co-Op,Arius Technology - Divisional Office,Richmond,"Intermediate, Senior",,"Mar 11, 2026 9:00 AM","Students are responsible for ensuring they are eligible for an 8-month work term before applying. Please discuss your work/study sequence flexibility with your academic advisor as soon as possible. This job is funded by the Government of Canada's Student Work Placement Program (SWPP) or Canada Summer Jobs. These programs require that candidates be a Canadian citizen, permanent resident or a protected person defined by the Immigration and Refugee Protection Act.","Maintain Python and C++ code bases to latest industry and company coding standards Designing, executing, and reporting on robust testing of new software releases Maintain and update documentation for existing codebase Work within a mature software development environment with an expectation of maintaining a high-quality codebase Design and implement new software features across the codebase, prior examples include: 3D point cloud rendering Alignment camera data interfacing Laser beam profiling Robotic control algorithms Work closely with stakeholders to ensure the changes and features developed meet their needs","Engineering Student in Engineering (Electrical, Computer, Systems, Mechatronics), Computer Science, or a related field Highly proficient with Python and C++ Knowledge of software development process and tools such as CMake, Git, JIRA, and Agile project management Experience debugging software in hardware environment Excels working in a collaborative team environment, has a high value for communication, and is goal oriented High attention to detail Excellent written and verbal communication skills Experience developing and debugging firmware for embedded systems would be an asset Experience with Linux operating system such as Ubuntu would be an asset Knowledge of build pipelines and tools such as Jenkins would be an asset Experience writing unit tests with regression testing would be an asset Experience in instrumentation and automation software development in Python is an asset",,"460878 | Software Engineering Co-Op | Arius Technology | Divisional Office | 1 | Richmond | Intermediate, Senior | 49 | Mar 11, 2026 9:00 AM"
460869,460869,Field Technician Co-op,Club Support Inc - Divisional Office,Concord,Senior,,"Mar 11, 2026 9:00 AM",,"Provide hands-on technical assistance, troubleshooting, and support for hardware, software, and network-related issues at client locations. Perform cabling work, including pulling, terminating, and testing network cables. Troubleshoot and support CCTV and VoIP systems. Install, configure, and upgrade computer systems, hardware, software, networks, printers, and peripherals. Perform routine maintenance tasks, system updates, and software patches to ensure optimal performance and security. Mount and set up equipment such as access points, cameras, switches, and racks (basic handyman skills required). Maintain accurate records of repairs, installations, and inventory; create and update technical documentation and procedures. Provide excellent customer service and communicate effectively with clients to understand and address their IT needs.","Practical experience using tools, mounting hardware, and performing small fixes (handyman or trades-related experience is a strong asset). Proficiency in hardware, software, and network troubleshooting. Strong knowledge of Windows operating systems. Familiarity with networking protocols and technologies (TCP/IP, DNS, DHCP). Excellent problem-solving skills and attention to detail. Ability to work independently, prioritize tasks, and manage time effectively. Strong communication and interpersonal skills. A valid driver's license. Own transportation is recommended, but not mandatory. Any work-related travel expenses will be covered.",,"460869 | Field Technician Co-op | Club Support Inc | Divisional Office | 1 | Concord | Senior | 5 | Mar 11, 2026 9:00 AM"
460864,460864,Engineering Technician (Civil) (Co-op Position) - Richmond Hill,Brown & Beattie Ltd - Divisional Office,Richmond Hill,Intermediate,,"Mar 11, 2026 9:00 AM",,"In this Engineering Technician position, the successful candidate will be primarily involved in the collection of information from the field and reporting to the Project Engineers. This will include during initial planning stages as well as throughout the course of the restoration work. Typical projects include rehabilitation of reinforced concrete parking garage structures, balconies, exterior walls, and roofing systems, as well as involvement with building condition assessments. The candidate would be reporting to the Richmond Hill office. Typical daily activities may include: Completing site reviews for active construction projects Completing site reviews for existing buildings Attending site / virtual meetings Preparation of construction administration documents (i.e. site visit reports, meeting minutes, contemplated change orders, change orders, memos, bid summaries, etc.)","Familiarization with building science concepts and prior construction review experience would be an asset; however, extensive related knowledge is not required. The successful candidate will need to effectively convey their thoughts, observations, and relevant information both within the company and on-site to contractors and clients. The successful candidate must possess the ability to work independently with minimal supervision. Effective time management skills would be an asset as the successful candidate will be involved in multiple projects at the same time. Since the position involves extensive site work throughout the Greater Toronto Area, a reliable vehicle and valid Driver's License are a must. Also, the position involves accessing the sides of buildings on suspended stages, so the applicants cannot have a fear of heights. Necessary training will be provided.",,"460864 | Engineering Technician (Civil) (Co-op Position) - Richmond Hill | Brown & Beattie Ltd | Divisional Office | 1 | Richmond Hill | Intermediate | 41 | Mar 11, 2026 9:00 AM"
460852,460852,Undergraduate Affairs Project Assistant,University of Waterloo - School of Pharmacy,Kitchener,"Junior, Intermediate, Senior",,"Mar 11, 2026 9:00 AM",This position is funded by the Student Awards and Financial Aid Office's Work Placement Program.,"Reports to the Undergraduate Program Manager at the School of Pharmacy. Assists the UGA team (Undergraduate Program Manager, Undergraduate Affairs Administrative Coordinator, and the Director of Admissions and Undergraduate Affairs) in the following tasks: Respond to prospective applicant email inquiries sent to pharmacy@uwaterloo.ca. Support the administrative duties for the undergraduate pharmacy recruitment program including recruitment tools (i.e., brochures, videos, web pages, etc.) and events. Support the PharmD Student Ambassador Program and all associated activities. Assist in the preparation and execution of Student Engagement activities (i.e., Monthly Student Support emails; Wellness Weeks; Mental Health Initiatives; Academic and Study Skills Workshops; Town Hall Events). Typical tasks may include: Event communications and marketing Tracking registration Ordering materials Booking speakers Organizing volunteers Event day deliverables Assist with other projects as discussed/assigned in the student work plan.","Strong independent work ethic Attention to detail Excellent time management and prioritization skills Demonstrates ease with written and verbal communication Creativity and entrepreneurial thinking Prior experience with event planning/management Advocate for student wellness Familiarity with the University of Waterloo Student Support Services Displays a genuine interest in improvement initiatives Strong ethical principles including respect for confidentiality Experience with MS Software in particular skilled with Excel, PowerPoint, and Word",,"460852 | Undergraduate Affairs Project Assistant | University of Waterloo | School of Pharmacy | 1 | Kitchener | Junior, Intermediate, Senior | 1 | Mar 11, 2026 9:00 AM"
460846,460846,Wellness Worker,House of Friendship - Divisional Office,Kitchener,"Junior, Intermediate, Senior",,"Mar 11, 2026 9:00 AM","This opportunity is made possible through the generous donation of PMI Group. House of Friendship is responsible for the hiring, supervision, and evaluation of students on the co-op term, however compensation is provided by PMI Group. At the end of the work term, there is an expectation the student will meet with PMI Group to share learnings and key takeaways from their co-op experience. Students are required to be registered in the Faculty of Arts or Faculty of Engineering in order to be eligible.","Working alongside our housing team to provide connections, support and case management; to folks accessing Supportive and Affordable housing; Working together to maintain building safety; Run programing, and events; Connect with community partners; Answer phones, office door knocks, and manage guests of the office/building; Assist supervisor with scheduling pest treatments (includes notices, and follow-up from entries), supporting/providing information for prep for the treatments and inspections; Draft, deliver and make notices for unit entry, meetings and other information; Potentially assist with move-ins or move-on","Critical Skills: Commitment to understand and uphold the mission and values of House of Friendship is expected; Exemplary emotional intelligence, resilience, communication, conflict management and problem solving skills required; Ability to work professionally as a team member with staff, individuals in the program and community members; Experience or strong interest in working with diverse populations including people from various cultural backgrounds, income levels, and sensitivity to their needs; Experience with and commitment to using an anti-racism, anti-oppressive and trauma informed approach to consultation, program design, evaluations of processes and service delivery; Must be dependable, professional, flexible, a team player, and have a positive attitude; Respectful, supportive and engaging approach to persons with physical and/or cognitive disabilities, addictions, mental illness and other life challenges; Excellent project, timeline and deadline management skills including skills in logistics, planning and detailed record keeping; Job Specific Knowledge/Skills: Previous experience in a social service environment is preferred; Excellent interpersonal communication skills; Knowledge of addictions and recovery issues; Ability to work independently, with minimal supervision; Health and social services training important; Commitment to team approach; Passion to support people living on low income with support needs including mental health and addiction challenges Required Training/Certifications Crisis Intervention Training (CIT) Naloxone Training Diversity and Inclusion Training Applied Suicide Intervention Support Training (ASIST) Housing First Training",,"460846 | Wellness Worker | House of Friendship | Divisional Office | 1 | Kitchener | Junior, Intermediate, Senior | 34 | Mar 11, 2026 9:00 AM"
460820,460820,SYDE General + SYDE 223 First Year Engineering Tutor,University of Waterloo - Faculty of Engineering,Waterloo,"Junior, Intermediate, Senior",,"Mar 11, 2026 9:00 AM",,"- Facilitate weekly tutorials and problem-solving sessions for students - Assist with grading assignments, quizzes, and exams - Hold office hours to provide individualized support to students - Attend course lectures and meetings with instructors to stay up-to-date on course content and expectations -Responsible for meeting deadlines and work requirements set by the course instructors under the supervision of the Engineering Instructional Support Coordinators - Collaborate with other tutors and instructors to ensure consistent and fair grading practices - Provide feedback to course instructors on student progress and areas for improvement - Participate in mandatory training sessions. - Perform other duties as assigned by the Engineering Undergraduate Office","- Demonstrated proficiency in mechanics and programming course content - Excellent communication and interpersonal skills - Strong attention to detail and organizational skills - Ability to work collaboratively with instructors and other tutors - Previous experience as a tutors or tutor is an asset, but not required - Priority for this position will be given to those in SYDE",,"460820 | SYDE General + SYDE 223 First Year Engineering Tutor | University of Waterloo | Faculty of Engineering | 1 | Waterloo | Junior, Intermediate, Senior | 18 | Mar 11, 2026 9:00 AM"
460802,460802,Clinical Rehabilitation Assistant,Fairway Chiropractic - Divisional Office,Kitchener,"Intermediate, Senior",,"Mar 11, 2026 9:00 AM",,,,,"460802 | Clinical Rehabilitation Assistant | Fairway Chiropractic | Divisional Office | 1 | Kitchener | Intermediate, Senior | 12 | Mar 11, 2026 9:00 AM"
460797,460797,R&D Engineering Co-op,Vital Biosciences Inc - Divisional Office,Oakville,"Intermediate, Senior",,"Mar 11, 2026 9:00 AM",8-month consecutive work term required Students are responsible for ensuring they are eligible for an 8-month work term before applying. Please discuss your work/study sequence flexibility with your academic advisor as soon as possible.,"What you will Do: Support the R&D and engineering teams with various mechanical and electronic design, fabrication, and testing needs. Rapid prototyping of various components for testing and validation with the aim of transferring to manufacturing. Fabrication support on various micro and macro parts using various fabrications techniques. Adhere to ISO Standards: 13485, as well as cleanroom and safety standards. You will be active both intellectually but physically as well, requiring that you stand for prolonged durations to complete assigned duties (up to 2 hours between breaks).","What you will need: Seeking a student in Computer Science, Engineering, or a related field, or other relevant programs. Hands-on experience in software testing or quality assurance, preferably in medical devices, healthcare, or other regulated industries. High level of proficiency with scripting or programming languages (e.g., Python, JavaScript, or similar) for test automation. Experience with automated testing frameworks and tools for web, cloud, or embedded systems. Attention to details, highly organized, flexible, persistent, and proactive way of working.",,"460797 | R&D Engineering Co-op | Vital Biosciences Inc | Divisional Office | 1 | Oakville | Intermediate, Senior | 57 | Mar 11, 2026 9:00 AM"
